ID,MEDV
0,23.754536
1,24.975912
2,15.904159
3,19.873035
4,22.320269
5,22.452673
6,18.890981
7,22.368857
8,33.850911
9,18.599019
10,25.405392
11,22.001816
12,20.524797
13,18.299885
14,20.209553
15,26.917422
16,17.427693
17,24.608974
18,19.236367
19,21.611011
20,25.680406
21,36.784995
22,23.494182
23,9.527200
24,14.225410
25,8.484550
26,16.989377
27,20.174417
28,23.733129
29,15.421424
30,37.003546
31,18.999638
32,18.479927
33,18.742349
34,26.623055
35,20.097258
36,30.607300
37,30.646882
38,39.051020
39,25.211904
40,19.192146
41,31.321500
42,24.675267
43,17.712836
44,21.462386
45,26.359201
46,20.179018
47,24.219547
48,14.823408
49,13.790599
50,19.697210
51,34.184969
52,24.657808
53,-4.143128
54,12.813661
55,16.516529
56,20.387995
57,12.708375
58,10.644170
59,18.423800
60,19.994680
61,20.501874
62,32.651163
63,24.318110
64,35.874790
65,32.697392
66,15.688651
67,21.658106
68,25.338508
69,16.632684
70,19.634474
71,16.643708
72,28.562753
73,14.161527
74,20.778160
75,17.008696
76,20.092912
77,31.960991
78,17.099642
79,33.307958
80,32.662659
81,42.066820
82,28.366536
83,30.240986
84,18.098801
85,32.783020
86,16.758571
87,28.593923
88,16.099232
89,19.157294
90,15.464995
91,20.284699
92,14.592677
93,22.849374
94,20.105755
95,24.747660
96,35.882956
97,3.762799
98,14.261347
99,27.621911
100,24.375271
101,16.509383
102,27.581716
103,35.844571
104,11.145666
